source,window,flow_key,packet_count,total_bytes,duration_s,bytes_per_sec,mean_payload_len,std_payload_len,min_payload_len,max_payload_len,mean_iat,std_iat,min_iat,max_iat,burst_count,upload_ratio,label
archive_session2,0,5t:172.17.93.240:56594-172.217.24.14:443/17,17,9282,0.2342,39638.85,546.0,555.03,32,1258,0.014635,0.022806,0.0,0.0782,1,0.0,web
archive_session2,0,cid:f3c158461f1ea333,12,2191,0.1895,11561.08,182.58,339.96,38,1258,0.017229,0.022692,0.000241,0.065619,1,1.0,data
archive_session2,0,5t:172.17.93.240:63931-216.239.32.223:443/17,17,11826,0.3462,34160.32,695.65,569.37,30,1258,0.021637,0.061947,0.0,0.259705,2,0.0,data
archive_session2,0,cid:fdd5d0ec12d1525a,10,2140,0.3404,6286.03,214.0,368.88,39,1258,0.037826,0.072251,0.000493,0.237901,2,1.0,data
archive_session2,0,5t:172.17.93.240:54012-172.217.24.14:443/17,12,5697,0.1774,32108.58,474.75,515.19,32,1258,0.01613,0.029738,0.0,0.102086,2,0.0,web
archive_session2,0,cid:ee4829e53f97aebb,8,1962,0.1468,13361.19,245.25,401.56,39,1258,0.020978,0.034256,0.000214,0.102003,2,1.0,data
archive_session2,0,5t:172.17.93.240:53615-216.239.38.223:443/17,17,7502,0.1972,38034.45,441.29,504.49,30,1258,0.012328,0.02524,0.0,0.103049,2,0.0,web
archive_session2,0,5t:142.250.66.3:443-172.17.93.240:62708/17,57,10261,4.5029,2278.74,180.02,364.89,31,1258,0.080409,0.260704,0.0,1.825271,10,0.0,web
archive_session2,1,5t:142.250.66.3:443-172.17.93.240:62708/17,16,865,3.7392,231.33,54.06,40.04,32,178,0.249282,0.741274,0.0,2.987093,4,0.0,web
archive_session2,0,5t:142.250.183.174:443-172.17.93.240:57439/17,23,13850,0.2289,60508.99,602.17,553.04,33,1258,0.010404,0.025138,0.0,0.117992,2,0.0,web
archive_session2,0,cid:f31b5f76de2002fb,6,677,0.1773,3818.54,112.83,139.2,38,422,0.035459,0.067934,0.000111,0.171268,2,1.0,data
archive_session3,0,5t:142.251.43.142:443-172.17.93.240:62798/17,14,5943,0.1109,53600.26,424.5,494.86,32,1258,0.008529,0.017645,0.0,0.055686,1,0.0,web
archive_session3,0,cid:eb36233e68154f99,6,663,0.0521,12736.97,110.5,137.65,39,416,0.010411,0.011376,0.000411,0.030332,1,1.0,data
archive_session3,0,5t:142.251.43.131:443-172.17.93.240:51546/17,45,9403,3.9204,2398.48,208.96,400.76,31,1258,0.0891,0.449583,0.0,2.993387,4,0.0,web
