service,session,window,ip_a,ip_b,packet_count,total_bytes,duration_s,bytes_per_sec,mean_payload_len,std_payload_len,min_payload_len,max_payload_len,mean_iat,std_iat,min_iat,max_iat,burst_count,upload_ratio,label
youtube,3,3,172.17.93.240,172.217.24.194,33,12777,0.1712,74611.11,387.18,499.42,29,1258,0.005351,0.008623,0.0,0.030214,1,0.4242,web
youtube,3,0,142.251.222.195,172.17.93.240,22,13089,0.2889,45302.05,594.95,566.81,30,1258,0.013758,0.026373,0.0,0.10114,2,0.4545,web
youtube,3,1,142.251.222.195,172.17.93.240,14,1483,4.2367,350.04,105.93,126.4,30,443,0.3259,1.040168,0.0,3.927399,3,0.4286,web
youtube,3,0,142.250.205.74,172.17.93.240,33,16166,3.6983,4371.16,489.88,533.21,31,1258,0.115573,0.578212,0.0,3.332169,3,0.4242,web
youtube,3,0,172.17.93.240,49.44.226.146,20,11982,0.2482,48269.52,599.1,556.54,29,1258,0.013065,0.026145,0.0,0.079581,1,0.4,video
youtube,3,0,172.17.93.240,172.217.140.135,20,11027,0.213,51769.59,551.35,558.08,29,1258,0.011211,0.022821,0.0,0.076859,1,0.4,web
youtube,3,0,172.17.93.240,49.44.185.81,1646,1767451,2.3527,751248.02,1073.79,434.53,31,1258,0.00143,0.011466,0.0,0.437647,2,0.1549,video
youtube,3,1,172.17.93.240,49.44.185.81,254,262798,0.4592,572274.02,1034.64,469.08,33,1258,0.001815,0.007782,0.0,0.113,2,0.1969,video
youtube,3,0,172.17.93.240,172.253.118.132,86,61460,3.4063,18043.2,714.65,578.93,32,1258,0.040074,0.295678,0.0,2.743578,4,0.3837,web
youtube,3,0,142.251.222.130,172.17.93.240,61,38931,0.6646,58579.43,638.21,581.75,29,1258,0.011076,0.043855,0.0,0.31587,3,0.4098,web
youtube,3,0,172.17.93.240,172.217.174.227,119,87160,4.1625,20939.46,732.44,593.93,31,1258,0.035275,0.294008,0.0,3.186654,4,0.605,web
youtube,3,1,172.17.93.240,172.217.174.227,25,9312,3.6391,2558.87,372.48,507.34,30,1258,0.151629,0.580444,0.0,2.923184,4,0.56,web
youtube,3,0,142.250.66.3,172.17.93.240,17,11476,0.0579,198051.46,675.06,575.42,32,1258,0.003622,0.006053,0.0,0.023801,1,0.4118,web
youtube,3,1,142.250.66.3,172.17.93.240,31,5227,0.1412,37016.83,168.61,325.16,29,1254,0.004707,0.009335,0.0,0.033957,1,0.5161,web
youtube,3,0,142.251.221.174,172.17.93.240,24,10245,0.1936,52927.99,426.88,518.45,32,1258,0.008416,0.022102,0.0,0.101563,2,0.4583,data
youtube,3,0,172.17.93.240,64.233.170.119,437,446019,0.3994,1116834.6,1020.64,477.41,36,1258,0.000916,0.002651,0.0,0.042483,1,0.1899,web
youtube,4,0,142.250.206.78,172.17.93.240,27,13790,0.1745,79015.21,510.74,548.94,32,1258,0.006712,0.017891,0.0,0.085726,1,0.4815,data
youtube,4,1,142.250.206.78,172.17.93.240,20,7771,0.3372,23042.97,388.55,482.87,32,1258,0.017749,0.035013,0.0,0.14345,2,0.4,data
youtube,4,0,142.251.154.119,172.17.93.240,26,9726,3.4776,2796.77,374.08,517.42,33,1258,0.139104,0.403079,0.0,1.756294,4,0.4615,web
youtube,4,1,142.251.154.119,172.17.93.240,68,42587,0.6912,61609.48,626.28,570.93,30,1258,0.010317,0.031651,0.0,0.201813,3,0.4118,web
youtube,4,2,142.251.154.119,172.17.93.240,10,365,4.383,83.28,36.5,0.5,36,37,0.487,0.913622,0.031562,2.956803,4,0.5,web
youtube,4,3,142.251.154.119,172.17.93.240,11,414,2.5784,160.57,37.64,1.67,36,42,0.257839,0.589581,0.000962,2.011485,4,0.5455,web
youtube,4,4,142.251.154.119,172.17.93.240,6,207,0.7031,294.41,34.5,2.5,32,37,0.14062,0.131787,0.033608,0.328182,3,0.5,web
youtube,4,0,142.251.221.206,172.17.93.240,4438,4237657,4.9998,847568.58,954.86,524.04,30,1258,0.001127,0.016915,0.0,1.107785,3,0.2397,web
youtube,4,1,142.251.221.206,172.17.93.240,1571,1445389,4.7013,307442.77,920.04,539.48,32,1258,0.002994,0.034638,0.0,1.045367,8,0.2514,web
youtube,4,2,142.251.221.206,172.17.93.240,155,99256,4.763,20839.13,640.36,580.04,30,1258,0.030928,0.156069,0.0,1.556767,7,0.3742,web
youtube,4,3,142.251.221.206,172.17.93.240,35,8235,4.9858,1651.69,235.29,353.82,30,1251,0.146641,0.776744,0.0,4.60714,2,0.5714,web
youtube,4,4,142.251.221.206,172.17.93.240,201,100218,4.2346,23666.23,498.6,568.67,30,1258,0.021173,0.101967,0.0,0.857939,7,0.4129,web
youtube,4,5,142.251.221.206,172.17.93.240,23,3816,1.5725,2426.76,165.91,295.53,30,1251,0.071476,0.182657,0.0,0.775599,3,0.4348,web
youtube,4,6,142.251.221.206,172.17.93.240,7,1670,0.0705,23676.77,238.57,416.57,33,1253,0.011756,0.006923,0.000161,0.022816,1,0.5714,web
youtube,4,7,142.251.221.206,172.17.93.240,94,42320,4.819,8781.91,450.21,550.7,30,1258,0.051817,0.400664,0.0,3.886967,4,0.4681,web
youtube,4,8,142.251.221.206,172.17.93.240,175,79678,3.3875,23520.98,455.3,552.3,30,1258,0.019469,0.09361,0.0,0.915808,5,0.4514,web
youtube,4,9,142.251.221.206,172.17.93.240,18,2899,2.1693,1336.4,161.06,318.93,30,1251,0.127604,0.440337,0.0,1.883935,3,0.4444,web
youtube,4,10,142.251.221.206,172.17.93.240,7,1101,0.105,10487.02,157.29,274.26,30,828,0.017498,0.02107,0.0,0.063007,1,0.4286,web
youtube,4,11,142.251.221.206,172.17.93.240,144,74447,4.8173,15454.13,516.99,569.68,30,1258,0.033687,0.172532,0.0,1.623246,6,0.4236,web
youtube,4,12,142.251.221.206,172.17.93.240,156,89291,4.8885,18265.52,572.38,575.97,30,1258,0.031539,0.158994,0.0,1.491434,7,0.3782,web
youtube,4,13,142.251.221.206,172.17.93.240,26,8100,3.2254,2511.31,311.54,471.79,30,1258,0.129016,0.505532,0.0,2.578393,3,0.5,web
youtube,4,14,142.251.221.206,172.17.93.240,8,1149,0.1133,10139.48,143.62,259.93,30,830,0.016188,0.020661,0.001373,0.065227,1,0.5,web
youtube,4,15,142.251.221.206,172.17.93.240,52,23595,4.9182,4797.53,453.75,535.69,30,1258,0.096434,0.636259,0.0,4.594072,3,0.4423,web
youtube,4,16,142.251.221.206,172.17.93.240,44,21267,1.1546,18418.72,483.34,566.94,30,1258,0.026852,0.121511,0.0,0.809362,2,0.4773,web
youtube,4,0,142.250.77.99,172.17.93.240,89,62193,2.8665,21696.79,698.8,580.2,31,1258,0.032573,0.284635,0.0,2.687151,2,0.382,web
youtube,4,1,142.250.77.99,172.17.93.240,235,105671,4.9822,21209.81,449.66,500.42,33,1258,0.021291,0.259444,0.0,3.917336,3,0.4936,web
youtube,4,2,142.250.77.99,172.17.93.240,14,4261,0.0383,111285.71,304.36,213.75,34,634,0.002945,0.004977,0.0,0.0167,1,0.5,web
youtube,4,3,142.250.77.99,172.17.93.240,5,601,0.0318,18881.37,120.2,84.81,34,266,0.007958,0.005052,0.0,0.013953,1,0.4,web
youtube,4,0,172.17.93.240,192.178.211.84,36,19793,0.4167,47495.45,549.81,557.81,31,1258,0.011907,0.022259,0.0,0.090297,1,0.4722,web
youtube,4,1,172.17.93.240,192.178.211.84,24,11489,0.1825,62964.32,478.71,539.28,29,1258,0.007933,0.014644,0.0,0.053462,1,0.4167,web
youtube,4,0,172.17.93.240,172.217.24.194,49,16124,4.3779,3683.08,329.06,475.84,29,1258,0.091205,0.517817,0.0,3.633945,4,0.4898,web
youtube,4,1,172.17.93.240,172.217.24.194,31,11963,0.1319,90669.91,385.9,476.21,29,1258,0.004398,0.007336,0.0,0.026267,1,0.4839,web
youtube,4,0,172.17.93.240,173.194.24.134,17,11077,0.5117,21646.13,651.59,579.07,32,1258,0.031983,0.075305,0.0,0.239359,3,0.4706,video
youtube,4,0,142.251.12.119,172.17.93.240,23,14085,0.2387,58997.54,612.39,555.74,32,1258,0.010852,0.019134,0.0,0.058113,1,0.4348,web
youtube,4,1,142.251.12.119,172.17.93.240,358,348820,2.1955,158879.64,974.36,506.36,32,1258,0.00615,0.08725,0.0,1.646867,2,0.2179,web
youtube,4,2,142.251.12.119,172.17.93.240,71,66749,3.2287,20673.72,940.13,511.33,34,1258,0.046124,0.322823,0.0,2.724,2,0.169,web
youtube,4,3,142.251.12.119,172.17.93.240,91,87053,3.0918,28155.65,956.63,500.82,31,1258,0.034354,0.178247,0.0,1.593633,4,0.1648,web
youtube,4,4,142.251.12.119,172.17.93.240,22,18678,0.216,86483.26,849.0,543.56,34,1258,0.010284,0.019487,0.0,0.062208,1,0.2273,web
youtube,4,5,142.251.12.119,172.17.93.240,254,270323,3.343,80862.03,1064.26,432.38,34,1258,0.013213,0.17628,0.0,2.80887,2,0.1299,web
youtube,4,6,142.251.12.119,172.17.93.240,54,53152,3.0008,17712.76,984.3,489.09,34,1258,0.056618,0.366986,0.0,2.700757,2,0.1481,web
youtube,4,0,172.17.93.240,74.125.109.103,44,13828,0.7988,17311.36,314.27,467.21,29,1258,0.018576,0.038845,0.0,0.13019,4,0.4545,web
youtube,4,0,142.251.222.195,172.17.93.240,26,13470,0.1187,113524.71,518.08,556.17,30,1258,0.004746,0.00985,0.0,0.040891,1,0.5,web
youtube,4,0,142.251.43.35,172.17.93.240,85,51720,0.2638,196063.71,608.47,561.4,32,1258,0.00314,0.004805,0.0,0.023941,1,0.4118,web
youtube,4,0,172.17.93.240,49.44.226.178,559,539373,4.3339,124455.72,964.89,517.05,30,1258,0.007767,0.163419,0.0,3.864299,2,0.2361,video
youtube,4,1,172.17.93.240,49.44.226.178,389,384882,0.3426,1123320.9,989.41,501.89,30,1258,0.000883,0.001602,0.0,0.021197,1,0.2031,video
