label,detected_protocol,filesource,bidirectional_packets,bidirectional_bytes,bidirectional_duration_ms,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_iat_mean,bidirectional_iat_std,src2dst_bytes,dst2src_bytes
Streaming,QUIC,youtube_1.pcapng,8,557,54060,69.625,1.505940617307715,7722.857142857143,13144.897697441029,284,273
Streaming,QUIC,youtube_1.pcapng,892,607491,53857,681.0437219730939,585.5454633661975,60.44556677890011,596.4148527057968,234934,372557
Streaming,QUIC,youtube_1.pcapng,30,2065,65549,68.83333333333334,2.5875475452347874,2260.3103448275865,6257.136874364505,1207,858
Streaming,QUIC,youtube_1.pcapng,18,5263,12935,292.38888888888886,400.87025022610476,760.8823529411765,3062.8359587634004,3819,1444
Streaming,QUIC,youtube_1.pcapng,538,586264,15894,1089.710037174722,439.0092976660548,29.59776536312848,422.3138226143167,8557,577707
Streaming,QUIC.Google,youtube_1.pcapng,31,17132,71,552.6451612903227,578.7941803662218,2.3666666666666663,4.874163647680268,5165,11967
Streaming,QUIC,youtube_1.pcapng,7,1046,126,149.42857142857142,140.10693195182162,21.0,31.413372948475303,436,610
Streaming,QUIC.Google,youtube_1.pcapng,29,17326,186,597.448275862069,577.5467566852363,6.642857142857142,12.83286950305892,5233,12093
Streaming,QUIC.YouTube,youtube_1.pcapng,9142,9318047,52663,1019.2569459636857,506.17760110347655,5.761185865878983,151.7810576471102,194668,9123379
Streaming,QUIC.YouTube,youtube_1.pcapng,3496,3750860,7331,1072.900457665906,466.90506807279877,2.097567954220315,68.23526536490002,58192,3692668
Streaming,QUIC,youtube_1.pcapng,18,6083,11794,337.94444444444446,373.3872728890951,693.7647058823528,2789.3577112260937,1694,4389
Streaming,QUIC.YouTube,youtube_1.pcapng,744,789969,785,1061.78629032258,474.0940315669215,1.0565275908479141,4.03482579462495,16022,773947
Streaming,QUIC,youtube_1.pcapng,35,3468,4040,99.08571428571429,52.660048160525896,118.82352941176472,592.7354395071817,1512,1956
Streaming,QUIC.YouTube,youtube_1.pcapng,110,86011,3421,781.9181818181819,585.6563499330024,31.38532110091742,209.64890881595366,8356,77655
Streaming,QUIC.Google,youtube_1.pcapng,57,40501,887,710.543859649123,588.3324215276184,15.839285714285715,60.98130169030632,8206,32295
Streaming,QUIC,youtube_1.pcapng,71,54225,11574,763.732394366197,591.4175696154954,165.34285714285724,1343.12775661901,2226,51999
Streaming,QUIC.PlayStore,youtube_1.pcapng,28,12710,283,453.92857142857144,527.4852940601619,10.481481481481483,23.29306659860293,6326,6384
Streaming,QUIC,youtube_1.pcapng,4,280,27047,70.0,1.1547005383792515,9015.666666666668,15557.57488599471,142,138
Streaming,QUIC.YouTube,youtube_1.pcapng,25,16575,359,663.0,554.208970816364,14.958333333333332,26.119256875151425,4907,11668
Web,QUIC.Google,web_1.pcapng,21,14256,97,678.8571428571428,569.165642472759,4.85,7.788486779586229,6237,8019
Web,QUIC.Google,web_1.pcapng,44,22283,473,506.43181818181813,536.4029376524692,10.999999999999996,25.506301742342586,6555,15728
Web,QUIC.Google,web_1.pcapng,27,15503,301,574.1851851851853,558.4640362387536,11.576923076923078,21.633627669760937,6591,8912
Web,QUIC.Google,web_1.pcapng,23,16150,185,702.1739130434783,560.0650653900453,8.409090909090908,11.930988427137327,6351,9799
Web,QUIC,web_1.pcapng,1714,1482037,53207,864.6656942823806,565.2341865155114,31.060712200817278,466.28156083575414,84398,1397639
Web,QUIC.Google,web_1.pcapng,23,14696,331,638.9565217391304,575.0571100698585,15.045454545454545,30.18116295643025,6517,8179
Web,QUIC.Google,web_1.pcapng,74,58477,105,790.2297297297298,580.5578221481993,1.4383561643835616,3.6817353297123017,7196,51281
Web,QUIC.YouTube,web_1.pcapng,211,173394,990,821.7725118483417,585.0041150875563,4.714285714285713,30.627789953405674,20673,152721
Web,QUIC.YouTube,web_1.pcapng,20,13117,78,655.8499999999999,583.3308418493159,4.105263157894736,7.078094037569603,4473,8644
Web,QUIC.Google,web_1.pcapng,65,52321,226,804.9384615384614,577.6110790608557,3.5312500000000013,13.897548887460879,6243,46078
Web,QUIC.PlayStore,web_1.pcapng,27,16112,256,596.7407407407408,564.7501552826151,9.84615384615385,21.428378021105207,6064,10048
Web,QUIC.Google,web_1.pcapng,23,15970,276,694.3478260869567,568.2837486435205,12.545454545454547,30.44077352237772,6892,9078
Web,QUIC.Apple,web_1.pcapng,28,16054,85,573.3571428571428,585.7458818423208,3.1481481481481484,7.6846685715215495,6774,9280
Web,QUIC,web_1.pcapng,35,24658,277,704.5142857142856,554.8283980299713,8.147058823529413,14.013267204831665,4369,20289
Generic_UDP,QUIC,generic_1.pcapng,1,1042,0,1042.0,0.0,0.0,0.0,1042,0
Generic_UDP,QUIC,generic_1.pcapng,1,53,0,53.0,0.0,0.0,0.0,53,0
Generic_UDP,QUIC,generic_1.pcapng,1,1042,0,1042.0,0.0,0.0,0.0,1042,0
Generic_UDP,QUIC,generic_1.pcapng,1,1042,0,1042.0,0.0,0.0,0.0,1042,0
Generic_UDP,QUIC,generic_1.pcapng,1,52,0,52.0,0.0,0.0,0.0,52,0
Generic_UDP,QUIC,generic_1.pcapng,1,1042,0,1042.0,0.0,0.0,0.0,1042,0
Generic_UDP,QUIC,generic_1.pcapng,1,52,0,52.0,0.0,0.0,0.0,52,0
Generic_UDP,QUIC,generic_1.pcapng,1,53,0,53.0,0.0,0.0,0.0,53,0
Generic_UDP,QUIC,generic_1.pcapng,1,1042,0,1042.0,0.0,0.0,0.0,1042,0
Generic_UDP,QUIC,generic_1.pcapng,1,1042,0,1042.0,0.0,0.0,0.0,1042,0
Generic_UDP,QUIC,generic_1.pcapng,1,53,0,53.0,0.0,0.0,0.0,53,0
Generic_UDP,QUIC,generic_1.pcapng,1,52,0,52.0,0.0,0.0,0.0,52,0
Generic_UDP,QUIC,generic_1.pcapng,1,53,0,53.0,0.0,0.0,0.0,53,0
Generic_UDP,QUIC,generic_1.pcapng,1,53,0,53.0,0.0,0.0,0.0,53,0
Generic_UDP,QUIC,generic_1.pcapng,1,53,0,53.0,0.0,0.0,0.0,53,0
